Name,ID,Centraility,Popularity,Threshold
Benjamin Britten,7MJ1pB5d6Vjmzep2zQlorn,0.05569723446266914,56,14
Gaetano Donizetti,2jCGEMSZXMSOImpD8sqo56,0.055473836084598604,53,14
Philharmonia Orchestra,09KZU0NsS7jRa5p0SflmGY,0.05472180902313723,65,14
Hector Berlioz,11T8SOX82xraocZzUXzkvM,0.05011414055199702,48,14
London Philharmonic Orchestra,3PfJE6ebCbCHeuqO4BfNeA,0.049745654924419805,69,14
Plácido Domingo,4pU3BpenOZFEBzORx2YBJW,0.049519311697389365,61,14
Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,0.04780262670185405,59,14
Berliner Philharmoniker,6uRJnvQ3f8whVnmeoecv5Z,0.04730834327093501,72,14
Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,0.04662948715605912,63,14
Igor Stravinsky,7ie36YytMoKtPiL7tUvmoE,0.046550619145581236,56,14
Jules Massenet,1AoIc5YFH0aSFc4mKqBEeB,0.04625317355334741,52,14
Vienna State Opera Chorus,7dG0oG7NmmndPNaORvzwj9,0.04569281272448636,49,14
Edward Elgar,430byzy0c5bPn5opiu0SRd,0.045581680635489535,61,14
Bavarian Radio Chorus,536pGG9V0mbcKOSgw37g4m,0.04505096545289284,48,14
Henry Purcell,3tMLo1k3iUo82coMLWXzxq,0.04439020194500596,54,14
Herbert von Karajan,5zCaQxjl110XTrm4LQ1CxY,0.044312587318763925,68,14
Bavarian Radio Symphony Orchestra,74gWOpgM97HU3Mn8A8d0Vm,0.043827692410813225,56,14
Leonard Bernstein,2LmyJyCF5V1eQyvHgJNbTn,0.043259758094271634,66,14
Dmitri Shostakovich,6s1pCNXcbdtQJlsnM1hRIA,0.041802582657788884,60,14
Carl Maria von Weber,1p6wR69pnH9LBWZvwliuz2,0.040793587968531865,43,14
César Franck,1C3sffOOvQNUwg4YIsvKqy,0.04044861739877427,51,14
Royal Philharmonic Orchestra,0MvSBMGRQJY3mRwIbJsqF1,0.0403330779522725,73,14
Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,0.04020159178596834,58,14
Ralph Vaughan Williams,7wNkISK49lKeXuRaZcQVFe,0.040087546179963206,55,14
Sir Georg Solti,0dicUFoK5LIbqu6OoHu8VH,0.03920466593962435,58,14
Christoph Willibald Gluck,7vfydQ0nVBVgJ0ajs8EtRM,0.03920131824244447,55,14
Vienna State Opera Orchestra,5VFkAGIv1Pioeb6e2JfpOE,0.038872812264980336,45,14
Francis Poulenc,4IAWVxo2fpTBPn6k7GZ3eY,0.03867417880195748,50,14
Luciano Pavarotti,0Y8KmFkKOgJybpVobn1onU,0.03849942377572147,67,14
Vincenzo Bellini,6AphpMkKDU4I3Z6XaGu1UV,0.03817062723219215,50,14
Kiri Te Kanawa,3fcsflK8xu26XH4OYTcm5T,0.038120657697320266,52,14
Jacques Offenbach,4OihBPCQzR4GfbzqOY69Xm,0.037647845065135035,51,14
Jean Sibelius,7jzR5qj8vFnSu5JHaXgFEr,0.037536956620005904,59,14
Anonymous ,35y6unM66rGPWHTRFNrqKS,0.03729695647531113,48,14
Dietrich Fischer-Dieskau,10CN8N2O3FlGlPVJWBiu5D,0.03634451919798657,48,14
Nicolai Gedda,1CjvOazvrDCipu1gbgyjIh,0.03606100917612984,40,14
Béla Bartók,5zyNXVd952fWOjkdGHCvPd,0.03515576767563821,50,14
Bryn Terfel,6ILd69yy67k6OU7cwpGNSl,0.03476715608730252,48,14
"Orchestra of the Royal Opera House, Covent Garden",2t5BHUdyeL3NBKqpOpaA4V,0.034622861570016844,56,14
English Chamber Orchestra,2DO4p3CPDnInsJfg0jFfaF,0.034568802996566506,66,14
Claudio Abbado,6HclTVD03WSY6GUpN16BkP,0.03405171901605016,65,14
George Gershwin,1YuknfkSYTTbolRpwZBOv4,0.033613105828949615,57,14
Fritz Kreisler,0HdNDZaNm7xLt18v9aWDfe,0.03325070864150426,48,14
Nikolai Rimsky-Korsakov,2kXJ68O899XvWOBdpzlXgs,0.03316059252433735,52,14
Modest Mussorgsky,284mnx33IWcymQEpMxyfHl,0.03275121857560703,51,14
Unknown Artist,74Ch11L4833kZ9VfyziR3K,0.03231645413668725,42,14
Christa Ludwig,1Jgntox16Lhl0bFoRhV3Ar,0.032099006822652716,40,14
Franz Xaver Gruber,395Z91yDQ05pkMbRKik18y,0.031553465142234734,51,14
Academy of St. Martin in the Fields,77CaCn32H4mOMQA7UElzfF,0.031313993525118634,67,14
Pietro Mascagni,3Z5fRknMBBNfCw6pkgR9S8,0.031179873123899738,50,14
Munich Radio Orchestra,0epMHcfPfSyf4QArBZCxWX,0.030858519006797494,46,14
Lucia Popp,6FUbcx4NUDhuIqsmsFyIqJ,0.030725266165431024,39,14
Georg Philipp Telemann,2fg5h5pzleqI4RjFopWroj,0.0307156017951858,56,14
Yvonne Kenny,6Mh6TOKv7l4wRDtQ4rROyC,0.030696879641298518,31,14
Staatskapelle Dresden,3Vfvyx6OouTxYU3emXonW7,0.030537708814310307,54,14
Fritz Wunderlich,3jp4zawfeVYVpSzO2Yujbv,0.030362457104704376,43,14
Elisabeth Schwarzkopf,0B94ekfBARqVS2gwrTnvJ6,0.030220282157438376,39,14
Anne Sofie von Otter,4pFlv4QVInj7bAo0MqHpwW,0.030210157168279413,50,14
Samuel Barber,4XDJurjQCnWLlE7KLZCT9x,0.02994474216762413,57,14
Barbara Hendricks,3NkCIDMU5HgFAyVLVdCWgE,0.02988633552234632,39,14
Sir Neville Marriner,6NUhQz7eAEsZvjEHTKHux9,0.029471463206304782,66,14
Gustav Holst,5B7uXBeLc2TkR5Jk23qKIZ,0.029428777443232343,56,14
José Carreras,1ahGKezyX9Rl7GuEF2tc15,0.02941150263650905,54,14
Sir Colin Davis,0TrG2LSot4KhaXqdf5K2zE,0.029069744669753986,60,14
Dame Joan Sutherland,57ut70dPEUxC1dk83YY3hY,0.02893627615397089,51,14
John Rutter,0qlhpgr87PEG89Jd5iRpxe,0.02882535301617475,63,14
Anton Bruckner,2bM3j1JQWBkmzuoZKu4zj2,0.028801442678567893,50,14
Royal Concertgebouw Orchestra,2HqNckz4bPVT37fWkhugTZ,0.02877167437993948,59,14
Sir Charles Mackerras,1iyvtzGjtuQa1I5UGpzk6l,0.028174686756341636,52,14
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,0.23139116747651114,78,15
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,0.19401447371163247,81,15
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,0.15574977784868313,76,15
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,0.13632665556439444,67,15
Franz Schubert,2p0UyoPfYfI76PCStuXfOP,0.13415385258991314,68,15
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,0.1309898766778011,70,15
Felix Mendelssohn,6MF58APd3YV72Ln2eVg710,0.11666656464591653,63,15
Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,0.11184789114741277,64,15
Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,0.10672257763703068,73,15
Traditional,1U5zgr455OGyIkLNXvDdrf,0.1005707102636942,70,15
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,0.09649703421536304,63,15
Anonymous,4kCZ5nyurc9eIqLJfUcW0Y,0.09583745049480767,61,15
Franz Joseph Haydn,656RXuyw7CE0dtjdPgjJV6,0.08809498520295432,62,15
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,0.08767246921213839,60,15
Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,0.08287681421077593,56,15
Claude Debussy,1Uff91EOsvd99rtAupatMP,0.07530048112201276,71,15
Antonín Dvořák,6n7nd5iceYpXVwcx8VPpxF,0.07485771990606252,63,15
Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,0.07427977887217264,63,15
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,0.07373000062514644,72,15
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,0.07198593183319525,57,15
Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd,0.07137416737712447,58,15
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,0.07124932791469586,64,15
Giacomo Puccini,0OzxPXyowUEQ532c9AmHUR,0.07107387395380944,65,15
London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,0.06508369101611651,76,15
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,0.06325999777384547,64,15
Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,0.06118835238769388,66,15
Charles Gounod,42Vmza0WYHdhsgxFmf9Tui,0.060886368094026574,56,15
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,0.05903577034036806,76,15
Wiener Philharmoniker,003f4bk13c6Q3gAUXv7dGJ,0.05794342981991296,69,15
Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,0.05693229927778525,57,15
Franz Liszt,1385hLNbrnbCJGokfH2ac2,0.0567881846906058,66,15
Benjamin Britten,7MJ1pB5d6Vjmzep2zQlorn,0.055957413417172135,56,15
Gaetano Donizetti,2jCGEMSZXMSOImpD8sqo56,0.0556463782430304,53,15
Philharmonia Orchestra,09KZU0NsS7jRa5p0SflmGY,0.055468500521568674,65,15
Hector Berlioz,11T8SOX82xraocZzUXzkvM,0.050825007666233456,48,15
London Philharmonic Orchestra,3PfJE6ebCbCHeuqO4BfNeA,0.05062289034345641,69,15
Plácido Domingo,4pU3BpenOZFEBzORx2YBJW,0.05006203058772987,61,15
Berliner Philharmoniker,6uRJnvQ3f8whVnmeoecv5Z,0.04760590923974722,72,15
Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,0.047580122659533486,59,15
Igor Stravinsky,7ie36YytMoKtPiL7tUvmoE,0.04658399810948212,56,15
Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,0.04630835825427606,63,15
Jules Massenet,1AoIc5YFH0aSFc4mKqBEeB,0.04612365627891407,52,15
Edward Elgar,430byzy0c5bPn5opiu0SRd,0.04604453532211157,61,15
Vienna State Opera Chorus,7dG0oG7NmmndPNaORvzwj9,0.04552819194798542,49,15
Bavarian Radio Chorus,536pGG9V0mbcKOSgw37g4m,0.0454336538624507,48,15
Herbert von Karajan,5zCaQxjl110XTrm4LQ1CxY,0.044619022539284535,68,15
Henry Purcell,3tMLo1k3iUo82coMLWXzxq,0.04439703083715285,54,15
Bavarian Radio Symphony Orchestra,74gWOpgM97HU3Mn8A8d0Vm,0.04424289717278275,56,15
Leonard Bernstein,2LmyJyCF5V1eQyvHgJNbTn,0.043693655111501285,66,15
Dmitri Shostakovich,6s1pCNXcbdtQJlsnM1hRIA,0.041932029604462635,60,15
Royal Philharmonic Orchestra,0MvSBMGRQJY3mRwIbJsqF1,0.041051283599860065,73,15
César Franck,1C3sffOOvQNUwg4YIsvKqy,0.04096628234377637,51,15
Carl Maria von Weber,1p6wR69pnH9LBWZvwliuz2,0.04040793023358544,43,15
Ralph Vaughan Williams,7wNkISK49lKeXuRaZcQVFe,0.04031887769421333,55,15
Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,0.03999215342804476,58,15
Christoph Willibald Gluck,7vfydQ0nVBVgJ0ajs8EtRM,0.039729234769952784,55,15
Sir Georg Solti,0dicUFoK5LIbqu6OoHu8VH,0.039546467448848634,58,15
Luciano Pavarotti,0Y8KmFkKOgJybpVobn1onU,0.03922457455198818,67,15
Vienna State Opera Orchestra,5VFkAGIv1Pioeb6e2JfpOE,0.03897622023611275,45,15
Kiri Te Kanawa,3fcsflK8xu26XH4OYTcm5T,0.038961238660566284,52,15
Francis Poulenc,4IAWVxo2fpTBPn6k7GZ3eY,0.03886070129360844,50,15
Vincenzo Bellini,6AphpMkKDU4I3Z6XaGu1UV,0.0381382744848641,50,15
Jean Sibelius,7jzR5qj8vFnSu5JHaXgFEr,0.03792816531302345,59,15
Jacques Offenbach,4OihBPCQzR4GfbzqOY69Xm,0.03769431109389772,51,15
Anonymous ,35y6unM66rGPWHTRFNrqKS,0.03725098592161407,48,15
Dietrich Fischer-Dieskau,10CN8N2O3FlGlPVJWBiu5D,0.03619794101129306,48,15
Nicolai Gedda,1CjvOazvrDCipu1gbgyjIh,0.0360670859867328,40,15
Bryn Terfel,6ILd69yy67k6OU7cwpGNSl,0.03549489343989605,48,15
English Chamber Orchestra,2DO4p3CPDnInsJfg0jFfaF,0.03529072226925823,66,15
Béla Bartók,5zyNXVd952fWOjkdGHCvPd,0.03509354392149328,50,15
"Orchestra of the Royal Opera House, Covent Garden",2t5BHUdyeL3NBKqpOpaA4V,0.03503633571915404,56,15
